id	name	type	location	team	initiationDate	finalisationDate	finalStatus
1078	Soccer-1078	Soccer	Prairiewood	Team-11	1999-10-01	2001-08-28	
1079	Swimming-1079	Swimming	Bayswater (Vic.)	Team-68	2018-09-21	2020-04-14	
1080	Boxing-1080	Boxing	Quinns Rocks	Team-34	2007-07-17	2008-09-09	
1081	Track and field-1081	Track and field	Notting Hill	Team-92	2003-07-13	2005-05-27	
1082	Cycling-1082	Cycling	Canterbury (Vic.)	Team-27	2006-12-16	2008-10-18	
1083	Gymnastics-1083	Gymnastics	Melton West	Team-23	2013-04-24	2015-02-26	
1084	Surfing-1084	Surfing	Kanahooka	Team-17	2003-05-20	2005-05-24	
1085	Lacrosse-1085	Lacrosse	Strathpine	Team-69	2012-07-03	2013-11-11	
1086	Wrestling-1086	Wrestling	Truganina	Team-87	2007-04-16	2009-02-25	
1087	Handball-1087	Handball	Mypolonga	Team-88	2004-04-22	2006-03-03	
1088	Wrestling-1088	Wrestling	Rydalmere	Team-82	1999-07-18	2001-03-20	
1089	Swimming-1089	Swimming	Mona Vale	Team-43	2017-02-08	2018-02-03	
1090	Diving-1090	Diving	Argentina	Team-92	2004-05-10	2006-03-08	
1091	Gymnastics-1091	Gymnastics	Ophir	Team-8	1999-08-14	2000-09-01	
1092	Water polo-1092	Water polo	Keilor Lodge	Team-66	2005-11-14	2006-11-03	
1093	Handball-1093	Handball	Ballajura	Team-16	2010-06-22	2011-09-27	
1094	Weightlifting-1094	Weightlifting	Urunga	Team-21	2001-12-28	2003-03-29	
1095	Polo-1095	Polo	Northmead	Team-95	2005-01-24	2005-10-16	
1096	Polo-1096	Polo	Nollamara	Team-35	1999-12-04	2001-12-05	
1097	Cricket-1097	Cricket	Pendle Hill	Team-54	2003-09-21	2005-09-03	
1098	Golf-1098	Golf	Bunglegumbie	Team-63	2006-09-22	2007-12-05	
1099	Hockey-1099	Hockey	Mutawintji	Team-59	2001-04-02	2002-11-17	
1100	Handball-1100	Handball	Niger	Team-69	2004-02-02	2005-09-28	
1101	Boxing-1101	Boxing	Gisborne	Team-23	2017-12-03	2019-09-25	
1102	Bowling-1102	Bowling	Glen Waverley	Team-62	2004-04-13	2005-06-10	
1103	Volleyball-1103	Volleyball	Bronte	Team-76	2008-09-27	2010-01-05	
1104	Karate-1104	Karate	Iluka (WA)	Team-13	2009-05-03	2010-09-08	
1105	Basketball-1105	Basketball	Great Britain	Team-46	2018-07-05	2020-05-27	
1106	Rowing-1106	Rowing	Airport West	Team-93	2000-08-13	2002-07-27	
1107	Swimming-1107	Swimming	North Avoca	Team-39	2001-09-23	2003-01-03	
1108	Archery-1108	Archery	Boronia	Team-53	2010-12-23	2012-10-08	
1109	Climbing-1109	Climbing	Winkie	Team-31	2015-04-15	2017-02-20	
1110	Canoe-1110	Canoe	Edensor Park	Team-8	2015-12-01	2017-08-14	
1111	Soccer-1111	Soccer	Wurtulla	Team-77	2002-05-16	2003-11-16	
1112	Shooting-1112	Shooting	Thailand	Team-12	2018-04-23	2019-08-20	
1113	Swimming-1113	Swimming	Biggera Waters	Team-10	2011-10-26	2013-08-25	
1114	Rugby 7s-1114	Rugby 7s	Frenchs Forest	Team-93	1999-09-13	2001-08-31	
1115	Archery-1115	Archery	Blacktown	Team-44	2000-09-11	2002-06-01	
1116	Hockey-1116	Hockey	Papua New Guinea	Team-74	2002-07-19	2004-04-22	
1117	Diving-1117	Diving	New Farm	Team-55	1999-09-12	2000-08-08	
1118	Lacrosse-1118	Lacrosse	Randwick	Team-39	2012-09-01	2014-02-16	
1119	Equestrian-1119	Equestrian	Yeelanna	Team-18	2006-10-08	2008-07-28	
1120	Track and field-1120	Track and field	Woodsreef	Team-2	2008-04-24	2010-04-29	
1121	Water polo-1121	Water polo	Redcliffe (Qld)	Team-70	2003-01-01	2004-10-10	
1122	Judo-1122	Judo	Miller	Team-1	2001-05-05	2003-03-03	
1123	Climbing-1123	Climbing	El Salvador	Team-28	2011-06-05	2012-10-30	
1124	Badminton-1124	Badminton	Wellington Point	Team-27	2012-11-28	2014-05-23	
1125	Rowing-1125	Rowing	Riverview (Lane Cove - NSW)	Team-98	2014-05-07	2016-04-17	
1126	Archery-1126	Archery	Glenview	Team-69	2006-01-24	2007-10-12	
1127	Water polo-1127	Water polo	North Perth	Team-96	2003-04-11	2004-12-21	
1128	Baseball-1128	Baseball	Wattle Bank	Team-30	2013-07-05	2015-01-11	
1129	Surfing-1129	Surfing	Drysdale	Team-89	2009-10-22	2011-02-21	
1130	Track and field-1130	Track and field	Kingsgrove	Team-46	2003-05-15	2005-02-23	
1131	Racquets-1131	Racquets	Arundel	Team-12	2009-01-28	2009-10-10	
1132	Boxing-1132	Boxing	Keilor Lodge	Team-60	2009-09-19	2011-03-23	
1133	Track and field-1133	Track and field	Warranwood	Team-23	2014-12-28	2015-12-08	
1134	Swimming-1134	Swimming	Glen Iris (Vic.)	Team-60	2003-06-17	2005-06-19	
1135	Equestrian-1135	Equestrian	Southern River	Team-68	2002-03-02	2002-04-22	
1136	Tennis-1136	Tennis	McLaren Vale	Team-59	2016-05-09	2018-05-10	
1137	Boxing-1137	Boxing	Cardiff South	Team-36	2003-02-27	2003-05-04	
1138	Kayak-1138	Kayak	Semaphore Park	Team-33	2012-07-10	2013-06-19	
1139	Fencing-1139	Fencing	No usual address (Qld)	Team-5	2000-10-22	2002-09-23	
1140	Racquets-1140	Racquets	Bankstown	Team-23	2018-01-14	2018-02-01	
1141	Karate-1141	Karate	Gaven	Team-92	2011-06-09	2013-01-30	
1142	Rugby union-1142	Rugby union	South Brisbane	Team-76	2001-11-24	2003-06-05	
1143	Wrestling-1143	Wrestling	Ferndale (WA)	Team-46	2014-01-05	2015-04-03	
1144	Archery-1144	Archery	Macquarie Park	Team-55	2012-07-02	2014-06-23	
1145	Water polo-1145	Water polo	Beechboro	Team-19	2007-07-25	2009-05-28	
1146	Sailing-1146	Sailing	Bundalong	Team-81	2008-11-19	2010-09-26	
1147	Cricket-1147	Cricket	Germany	Team-28	2015-05-22	2017-01-08	
1148	Shooting-1148	Shooting	Warners Bay	Team-45	2018-01-21	2020-01-24	
1149	Gymnastics-1149	Gymnastics	Collaroy (NSW)	Team-61	2002-09-24	2004-04-04	
1150	Surfing-1150	Surfing	Sinagra	Team-25	1999-03-28	2001-02-27	
1151	Pentathlon-1151	Pentathlon	Seaforth (NSW)	Team-60	2002-01-15	2003-11-20	
1152	Golf-1152	Golf	Nathan	Team-24	2013-03-24	2014-11-13	
1153	Track and field-1153	Track and field	Guatemala	Team-96	2007-05-28	2008-11-23	
1154	Polo-1154	Polo	Beaumaris (Vic.)	Team-28	2005-11-01	2007-05-05	
1155	Softball-1155	Softball	Pymble	Team-62	2005-09-06	2007-03-29	
1156	Boxing-1156	Boxing	Jamaica	Team-76	2015-09-13	2017-09-07	
1157	Gymnastics-1157	Gymnastics	Stanmore (NSW)	Team-84	2017-01-17	2018-10-31	
1158	Surfing-1158	Surfing	Meadowbank (NSW)	Team-45	2000-04-23	2001-11-14	
1159	Fencing-1159	Fencing	Burkina Faso	Team-78	2006-03-26	2007-02-24	
1160	Netball-1160	Netball	Allawah	Team-9	2018-01-11	2019-02-24	
1161	Judo-1161	Judo	Bedford	Team-3	2013-06-18	2014-09-06	
1162	Soccer-1162	Soccer	Chadstone	Team-79	2007-06-21	2009-01-29	
1163	Rowing-1163	Rowing	No usual address (WA)	Team-14	2011-07-28	2012-09-29	
1164	Shooting-1164	Shooting	Cherrybrook	Team-30	2001-04-17	2003-04-20	
1165	Climbing-1165	Climbing	Campbelltown (NSW)	Team-63	2007-06-03	2009-01-01	
1166	Track and field-1166	Track and field	Darch	Team-61	1999-06-06	2000-09-07	
1167	Polo-1167	Polo	Middle Dural	Team-10	2017-01-21	2018-11-23	
1168	Track and field-1168	Track and field	Argentina	Team-39	2016-05-26	2017-10-16	
1169	Rowing-1169	Rowing	Noranda	Team-88	2005-01-15	2006-11-14	
1170	Soccer-1170	Soccer	Port Botany	Team-25	2014-12-22	2016-05-07	
1171	Netball-1171	Netball	Kerry	Team-35	2007-05-05	2009-04-07	
1172	Lacrosse-1172	Lacrosse	Brighton (Qld)	Team-93	2001-11-19	2003-09-11	
1173	Badminton-1173	Badminton	Lakemba	Team-20	2005-05-25	2007-02-10	
1174	Cricket-1174	Cricket	Springvale (Vic.)	Team-16	2014-12-11	2016-04-13	
1175	Shooting-1175	Shooting	Narre Warren	Team-53	2012-05-05	2014-02-14	
1176	Judo-1176	Judo	Kew (Vic.)	Team-23	2010-02-06	2012-01-25	
1177	Basketball-1177	Basketball	Frankston South	Team-11	2008-12-19	2009-04-09	
1178	Judo-1178	Judo	Coolum Beach	Team-1	2005-06-11	2006-11-01	
1179	Shooting-1179	Shooting	Delahey	Team-32	2014-11-13	2016-10-29	
1180	Netball-1180	Netball	Madora Bay	Team-55	2010-12-07	2012-08-12	
1181	Fencing-1181	Fencing	Point Cook	Team-56	2008-09-08	2009-09-05	
1182	Racquets-1182	Racquets	Mount Pleasant (Mackay - Qld)	Team-43	2011-04-10	2012-02-28	
1183	Karate-1183	Karate	France	Team-87	2015-10-17	2017-09-29	
1184	Climbing-1184	Climbing	Ormiston	Team-66	2018-04-01	2020-01-26	
1185	Rugby 7s-1185	Rugby 7s	Mernda	Team-3	1999-11-01	2001-09-03	
1186	Karate-1186	Karate	Mount Annan	Team-89	2003-01-14	2004-10-15	
1187	Swimming-1187	Swimming	Herne Hill (Vic.)	Team-78	2017-11-11	2019-05-14	
1188	Cycling-1188	Cycling	Maroubra	Team-13	2000-06-03	2002-02-02	
1189	Cricket-1189	Cricket	Toolondo	Team-91	2005-06-01	2007-03-04	
1190	Golf-1190	Golf	Dickson	Team-46	2001-08-25	2003-05-06	
1191	Netball-1191	Netball	Millbridge	Team-89	2000-01-23	2001-10-06	
1192	Squash-1192	Squash	Floraville	Team-94	2014-09-02	2016-08-21	
1193	Pentathlon-1193	Pentathlon	Concord West	Team-50	2015-07-04	2017-04-06	
1194	Fencing-1194	Fencing	Queenscliff (NSW)	Team-84	2002-12-11	2003-08-17	
1195	Sailing-1195	Sailing	Kurunjang	Team-74	2007-08-10	2009-05-26	
1196	Croquet-1196	Croquet	Melbourne	Team-24	2003-05-25	2005-05-07	
1197	Lacrosse-1197	Lacrosse	Beechboro	Team-97	2014-07-22	2016-07-13	
1198	Hockey-1198	Hockey	Blairmount	Team-24	2003-11-05	2005-03-12	
1199	Triathlon-1199	Triathlon	Riverwood	Team-44	2017-10-11	2019-06-12	
1200	Weightlifting-1200	Weightlifting	Noosaville	Team-59	2012-07-15	2013-12-13	
1201	Swimming-1201	Swimming	Alexandra Hills	Team-20	2006-03-11	2007-07-04	
1202	Diving-1202	Diving	Baldivis	Team-89	2004-04-24	2006-01-09	
1203	Dancing-1203	Dancing	Glen Iris (Vic.)	Team-89	2010-10-02	2012-07-09	
1204	Wrestling-1204	Wrestling	Attwood	Team-61	2010-01-28	2010-05-16	
1205	Weightlifting-1205	Weightlifting	Sandringham (NSW)	Team-78	2010-02-26	2012-02-18	
1206	Canoe-1206	Canoe	Mornington (Vic.)	Team-47	2014-01-11	2015-10-28	
1207	Equestrian-1207	Equestrian	Berserker	Team-12	2007-03-27	2009-02-23	
1208	Bowling-1208	Bowling	Ainslie	Team-69	2003-01-25	2004-11-29	
1209	Water polo-1209	Water polo	Ellenbrook	Team-37	2008-09-14	2010-05-06	
1210	Taekwondo-1210	Taekwondo	Croydon Park (NSW)	Team-98	2017-06-25	2019-02-27	
1211	Volleyball-1211	Volleyball	Melton (Vic.)	Team-64	2011-07-24	2013-04-10	
1212	Boxing-1212	Boxing	Stirling (WA)	Team-27	2008-10-17	2010-03-11	
1213	Lacrosse-1213	Lacrosse	Underdale	Team-32	1999-03-27	2000-07-04	
1214	Water polo-1214	Water polo	Grose Vale	Team-6	2011-04-16	2013-04-11	
1215	Equestrian-1215	Equestrian	Kepnock	Team-1	2017-11-12	2019-09-29	
1216	Gymnastics-1216	Gymnastics	Te Kowai	Team-32	2016-03-06	2017-12-20	
1217	Polo-1217	Polo	Madagascar	Team-12	2009-12-13	2011-08-24	
1218	Shooting-1218	Shooting	Bayview Heights	Team-28	2006-06-13	2008-01-15	
1219	Pentathlon-1219	Pentathlon	Mount Druitt	Team-52	1999-08-07	2001-06-01	
1220	Archery-1220	Archery	Doncaster	Team-55	2006-06-05	2008-04-12	
1221	Kayak-1221	Kayak	Myanmar/Burma	Team-52	2002-05-07	2003-04-01	
1222	Canoe-1222	Canoe	Milton (Qld)	Team-44	2009-10-12	2010-03-15	
1223	Dancing-1223	Dancing	Argentina	Team-14	2012-09-24	2014-08-30	
1224	Lacrosse-1224	Lacrosse	India	Team-18	2002-03-18	2003-09-15	
1225	Rugby 7s-1225	Rugby 7s	Knoxfield	Team-96	2012-01-11	2013-12-02	
1226	Shooting-1226	Shooting	Seaholme	Team-7	2006-04-07	2007-03-27	
1227	Water polo-1227	Water polo	Equatorial Guinea	Team-94	2002-12-23	2004-02-19	
1228	Bowling-1228	Bowling	Penrith	Team-51	2003-02-09	2003-10-23	
1229	Hockey-1229	Hockey	False Bay	Team-71	2006-01-22	2007-11-18	
1230	Boxing-1230	Boxing	USA	Team-28	2016-12-14	2018-08-29	
1231	Swimming-1231	Swimming	Gosford	Team-59	2010-04-28	2012-02-17	
1232	Water polo-1232	Water polo	Miami	Team-50	2002-07-27	2003-10-25	
1233	Dancing-1233	Dancing	Laidley	Team-56	2016-02-04	2017-11-30	
1234	Hockey-1234	Hockey	Indonesia	Team-58	2015-08-11	2017-04-28	
1235	Shooting-1235	Shooting	Keilor East	Team-54	2016-06-01	2018-03-22	
1236	Soccer-1236	Soccer	Windsor (Qld)	Team-74	2007-06-03	2009-04-23	
1237	Handball-1237	Handball	Gorokan	Team-73	2007-09-28	2009-07-19	
1238	Water polo-1238	Water polo	Broome	Team-84	2002-11-15	2003-12-10	
1239	Shooting-1239	Shooting	Clayfield	Team-98	2014-04-23	2015-07-24	
1240	Racquets-1240	Racquets	Mount Louisa	Team-9	2006-09-04	2008-06-12	
1241	Climbing-1241	Climbing	Eritrea	Team-80	2016-01-27	2017-12-27	
1242	Taekwondo-1242	Taekwondo	Malta	Team-23	2003-02-25	2004-04-15	
1243	Archery-1243	Archery	Argentina	Team-63	2014-11-19	2016-06-16	
1244	Hockey-1244	Hockey	Quinninup	Team-81	2014-09-02	2016-08-15	
1245	Netball-1245	Netball	Keilor East	Team-35	2012-09-12	2014-06-15	
1246	Basketball-1246	Basketball	Gambia	Team-7	2014-11-25	2016-04-07	
1247	Croquet-1247	Croquet	Brighton East	Team-36	2014-12-28	2015-11-05	
1248	Sailing-1248	Sailing	Marmion	Team-3	2012-04-26	2014-01-13	
1249	Water polo-1249	Water polo	Biboohra	Team-62	2009-06-20	2011-03-07	
1250	Water polo-1250	Water polo	Oak Park	Team-91	2011-03-05	2012-11-09	
1251	Tennis-1251	Tennis	Taigum	Team-54	2000-04-05	2001-11-19	
1252	Cricket-1252	Cricket	Burrabadine	Team-34	2006-01-10	2007-10-23	
1253	Judo-1253	Judo	Burpengary	Team-56	2000-05-05	2001-08-25	
1254	Archery-1254	Archery	Parramatta Park	Team-20	2005-09-05	2007-01-02	
1255	Rugby union-1255	Rugby union	Solomon Islands	Team-59	2005-12-06	2006-01-01	
1256	Diving-1256	Diving	Riverview (Qld)	Team-73	2013-06-01	2014-11-21	
1257	Bowling-1257	Bowling	Corio	Team-20	2001-04-24	2003-04-13	
1258	Rugby 7s-1258	Rugby 7s	Wetherill Park	Team-62	2001-08-28	2003-08-29	
1259	Netball-1259	Netball	Campbell	Team-82	2004-02-27	2006-02-27	
1260	Karate-1260	Karate	Telopea	Team-48	2015-12-12	2017-07-22	
1261	Climbing-1261	Climbing	Cremorne (Vic.)	Team-27	2006-11-19	2008-11-14	
1262	Croquet-1262	Croquet	Keilor East	Team-83	2007-06-13	2008-08-20	
1263	Kayak-1263	Kayak	Burwood Heights	Team-29	2002-05-25	2003-03-18	
1264	Soccer-1264	Soccer	Hillarys	Team-28	2009-01-13	2010-09-15	
1265	Squash-1265	Squash	Beaumont Hills	Team-83	2010-04-06	2012-02-10	
1266	Boxing-1266	Boxing	West Pennant Hills	Team-46	2013-08-16	2015-02-10	
1267	Bowling-1267	Bowling	Doncaster East	Team-9	2004-02-28	2006-01-27	
1268	Basketball-1268	Basketball	Redland Bay	Team-43	2005-07-05	2007-06-09	
1269	Racquets-1269	Racquets	St Andrews Beach	Team-37	2003-10-25	2005-07-05	
1270	Rugby union-1270	Rugby union	Merrylands	Team-34	2015-06-11	2017-06-09	
1271	Softball-1271	Softball	Morley	Team-74	2018-08-13	2019-11-18	
1272	Cycling-1272	Cycling	Beaumaris (Vic.)	Team-79	2003-09-20	2005-09-03	
1273	Netball-1273	Netball	Oakleigh	Team-61	2009-03-14	2010-08-27	
1274	Judo-1274	Judo	Machans Beach	Team-71	2007-12-04	2009-03-04	
1275	Pentathlon-1275	Pentathlon	Lavender Bay	Team-67	2006-05-08	2007-11-20	
1276	Rugby 7s-1276	Rugby 7s	North Wollongong	Team-4	2008-05-20	2009-03-03	
1277	Squash-1277	Squash	Lenah Valley	Team-10	2001-07-26	2003-07-11	
1278	Karate-1278	Karate	Dean Park	Team-83	2013-01-05	2014-09-29	
1279	Equestrian-1279	Equestrian	Dandenong	Team-91	2017-04-02	2018-12-08	
1280	Boxing-1280	Boxing	Monash (ACT)	Team-1	2008-06-18	2010-06-17	
1281	Dancing-1281	Dancing	Strzelecki (Vic.)	Team-59	1999-10-07	2001-05-26	
1282	Gymnastics-1282	Gymnastics	Eerwah Vale	Team-20	2016-07-02	2018-04-03	
1283	Dancing-1283	Dancing	Mackenzie (Brisbane - Qld)	Team-77	1999-10-09	2001-05-01	
1284	Taekwondo-1284	Taekwondo	Maryville	Team-49	2007-11-22	2009-11-04	
1285	Basketball-1285	Basketball	Salisbury Park	Team-22	2005-12-05	2007-11-11	
1286	Handball-1286	Handball	Ascot Vale	Team-59	2008-03-23	2009-12-29	
1287	Kayak-1287	Kayak	Port Macquarie	Team-91	2001-02-25	2002-11-29	
1288	Cycling-1288	Cycling	Muscle Creek	Team-97	2004-10-17	2004-11-27	
1289	Polo-1289	Polo	Dysart (Qld)	Team-39	2017-07-14	2019-07-12	
1290	Triathlon-1290	Triathlon	Boomerang Beach	Team-13	1999-04-22	2000-12-28	
1291	Gymnastics-1291	Gymnastics	Verdun	Team-7	2014-09-25	2016-08-24	
1292	Water polo-1292	Water polo	Broadmarsh	Team-63	2017-12-05	2019-11-29	
1293	Kayak-1293	Kayak	Chatswood	Team-4	2008-04-17	2010-01-02	
1294	Rugby 7s-1294	Rugby 7s	Ivanhoe (Vic.)	Team-8	2001-07-13	2003-04-25	
1295	Canoe-1295	Canoe	Lugarno	Team-42	2009-02-25	2010-11-21	
1296	Cricket-1296	Cricket	Delahey	Team-93	2004-06-04	2006-04-23	
1297	Karate-1297	Karate	Elizabeth West	Team-56	2016-04-19	2017-09-27	
1298	Climbing-1298	Climbing	South Turramurra	Team-19	2013-03-05	2014-12-20	
1299	Archery-1299	Archery	Epping (NSW)	Team-90	2006-04-02	2007-07-21	
1300	Golf-1300	Golf	Mount Camel	Team-69	2010-11-25	2012-10-07	
1301	Wrestling-1301	Wrestling	Glynde	Team-40	2012-01-09	2013-11-10	
1302	Cricket-1302	Cricket	Balmoral (Lake Macquarie - NSW)	Team-25	2014-05-05	2016-03-31	
1303	Rugby union-1303	Rugby union	Belconnen	Team-67	2006-11-20	2008-08-14	
1304	Equestrian-1304	Equestrian	Cambodia	Team-83	2018-05-07	2019-03-14	
1305	Weightlifting-1305	Weightlifting	Cheltenham (SA)	Team-98	2004-07-06	2006-04-20	
1306	Karate-1306	Karate	El Salvador	Team-24	2007-11-03	2008-11-17	
1307	Baseball-1307	Baseball	Collaroy (NSW)	Team-13	2018-09-26	2020-06-15	
1308	Rugby union-1308	Rugby union	New Farm	Team-89	2005-09-17	2006-05-15	
1309	Polo-1309	Polo	Harmers Haven	Team-79	2018-04-13	2019-01-23	
1310	Boxing-1310	Boxing	Gooseberry Hill	Team-97	2012-06-22	2013-09-06	
1311	Netball-1311	Netball	Singapore	Team-45	2002-12-25	2004-09-05	
1312	Judo-1312	Judo	Indonesia	Team-36	2002-05-20	2003-05-21	
1313	Gymnastics-1313	Gymnastics	Traralgon	Team-78	2010-03-12	2012-03-06	
1314	Bowling-1314	Bowling	Warranwood	Team-17	2014-11-03	2016-05-31	
1315	Boxing-1315	Boxing	Belgrave South	Team-28	2004-06-24	2005-09-17	
1316	Tennis-1316	Tennis	India	Team-49	2000-05-19	2002-02-03	
1317	Archery-1317	Archery	Brazil	Team-80	2006-07-20	2008-01-18	
1318	Taekwondo-1318	Taekwondo	Point Vernon	Team-11	2008-07-18	2010-05-20	
1319	Cycling-1319	Cycling	Somalia	Team-30	1999-07-07	2000-09-15	
